Bölge (Düzey-2),Ýl Adý,Ýlçe Adý,Ýl-Ýlçe,ilce_no
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",KIRKLARELI,PEHLIVANKOY,KIRKLARELI-PEHLIVANKOY,919
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",KIRKLARELI,PINARHISAR,KIRKLARELI-PINARHISAR,935
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",KIRKLARELI,VIZE,KIRKLARELI-VIZE,927
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,CERKEZKOY,TEKIRDAG-CERKEZKOY,905
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,CORLU,TEKIRDAG-CORLU,874
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,ERGENE,TEKIRDAG-ERGENE,902
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,HAYRABOLU,TEKIRDAG-HAYRABOLU,877
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,KAPAKLI,TEKIRDAG-KAPAKLI,912
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,MALKARA,TEKIRDAG-MALKARA,746
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,MARMARA EREGLISI,TEKIRDAG-MARMARA EREGLISI,970
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,MURATLI,TEKIRDAG-MURATLI,894
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,SARAY,TEKIRDAG-SARAY,918
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,SARKOY,TEKIRDAG-SARKOY,735
"TR21-TRAKYA-(EDIRNE, KIRKLARELI, TEKIRDAG)",TEKIRDAG,SULEYMANPASA,TEKIRDAG-SULEYMANPASA,777
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,ALTIEYLUL,BALIKESIR-ALTIEYLUL,489
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,AYVALIK,BALIKESIR-AYVALIK,478
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,BALYA,BALIKESIR-BALYA,538
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,BANDIRMA,BALIKESIR-BANDIRMA,626
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,BIGADIC,BALIKESIR-BIGADIC,485
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,BURHANIYE,BALIKESIR-BURHANIYE,483
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,DURSUNBEY,BALIKESIR-DURSUNBEY,515
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,EDREMIT,BALIKESIR-EDREMIT,522
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,ERDEK,BALIKESIR-ERDEK,667
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,GOMEC,BALIKESIR-GOMEC,492
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,GONEN,BALIKESIR-GONEN,584
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,HAVRAN,BALIKESIR-HAVRAN,521
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,IVRINDI,BALIKESIR-IVRINDI,497
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,KARESI,BALIKESIR-KARESI,580
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,KEPSUT,BALIKESIR-KEPSUT,523
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,MANYAS,BALIKESIR-MANYAS,579
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,MARMARA,BALIKESIR-MARMARA,963
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,SAVASTEPE,BALIKESIR-SAVASTEPE,486
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,SINDIRGI,BALIKESIR-SINDIRGI,461
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",BALIKESIR,SUSURLUK,BALIKESIR-SUSURLUK,560
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,AYVACIK,CANAKKALE-AYVACIK,540
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,BAYRAMIC,CANAKKALE-BAYRAMIC,543
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,BIGA,CANAKKALE-BIGA,621
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,BOZCAADA,CANAKKALE-BOZCAADA,964
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,CAN,CANAKKALE-CAN,596
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,CANAKKALE,CANAKKALE-CANAKKALE,585
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,ECEABAT,CANAKKALE-ECEABAT,672
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,EZINE,CANAKKALE-EZINE,541
"TR22-GUNEY MARMARA-(BALIKESIR, CANAKKALE)",CANAKKALE,GELIBOLU,CANAKKALE-GELIBOLU,671
